Nimeke,ISSN/NBN,"Digitoitu, avoin käyttö","Digitoitu, rajattu käyttö",Ilmestynyt vuosina,Digitointi-%,Niteitä,Sivuja,URL
"""Fria Blad""",fk00361,1907 - 1908,,1907 - 1908,100.00 %,4,62,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk00361
"""Kolmetoista"" : [Jalkaväkikoulutuskeskus 13, muistojulkaisu]",fk20100613,,1941,1941 - 1942,50.00 %,1,24,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk20100613
"""Lägerlivet""",fk01330,1937,1943,1937 - 1943,28.57 %,3,30,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk01330
"""Min oon meiltä"" : Vuoren rintamalehti",fk20100478,,1944,1944,100.00 %,9,44,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk20100478
"""Pystyyn pää"" : Jyväskylän partiopoikien lehti",fk20090657,,1943,1943,100.00 %,1,32,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk20090657
"""Teit isäin astumaan"" : nuorten asevelvollisten ja heidän kotiensa yhdysside",fk01702,,1941 - 1942,1941 - 1942,100.00 %,15,480,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk01702
0894,fk20100411,,1942,1942,100.00 %,1,70,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk20100411
1 april,fk20100721,1889,,1889,100.00 %,1,2,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk20100721
1/2 panos : Pellon rintamalehti,fk20100480,,1944,1944,100.00 %,13,44,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk20100480
1/2 tuntia naurua ja rakkautta,fk01998,1929,,1929,100.00 %,12,184,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk01998
10. er. järeä ptri 1941,fk20100614,,1941,1942,100.00 %,1,48,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk20100614
17 seitsemäntoista,fk07242,,1964 - 1967,1964 - 1967,100.00 %,31,2064,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk07242
2006,fk20100420,,1942,1942,100.00 %,2,8,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk20100420
29/XII 1905,fk20050954,1905,,1905,100.00 %,1,16,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk20050954
3. SKE:n sisarlehti,fk20210176,,1943 - 1944,1943 - 1944,100.00 %,4,31,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk20210176
3006,fk20100419,,1942,1942,100.00 %,5,59,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk20100419
A la Musikka,fk20090665,,1943,1943,100.00 %,1,16,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk20090665
A-B-C-liikennetaulukko,fk27846,1935 - 1939,,1936 - 1939,100.00 %,11,856,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk27846
A.kol.lehti,fk20100620,1939,,1939,100.00 %,1,9,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk20100620
